concept_id,gloss,ja_word,part_of_speech,de_part_of_speech,de_word,de_gender,de_plural,de_cefr,note
751,"mom, mother (polite/familiar form)",お母さん,noun,noun,Mama,die,Mamas,a1,Familiar register; Mutter reserved for 母親.
752,"progress, advance, development, improvement",進歩,noun,noun,Fortschritt,der,Fortschritte,b1,
753,wild bird,野鳥,noun,noun,Wildvogel,der,Wildvögel,b2,
754,"izakaya, japanese pub, bar/tavern",居酒屋,noun,,,,,,Culturally specific; German only borrows Izakaya.
755,"opinion, point of view, perspective (formal)",見解,noun,noun,Auffassung,die,Auffassungen,b2,
756,"to be defeated, lose",敗れる,verb,verb,scheitern,,,b2,Distinct from 負ける/unterliegen.
757,"universe, outer space",宇宙,noun,noun,Weltall,das,,b1,
758,"official, formal",公式,noun,adjective,offiziell,,,b1,"German equivalent is an adjective, not a noun."
759,"calculation, computation, arithmetic",計算,noun,noun,Berechnung,die,Berechnungen,b1,
760,alcohol,アルコール,noun,noun,Alkohol,der,,b1,
761,exclusive floor area,専有面積,noun,noun,Wohnfläche,die,Wohnflächen,b2,
762,"to live, to be alive",生きる,verb,verb,leben,,,a1,
763,"gathering, assembly, meeting point, rendezvous",集合,noun,noun,Versammlung,die,Versammlungen,b1,
764,"clock, watch",時計,noun,noun,Uhr,die,Uhren,a1,
765,store staff,店員,noun,noun,Verkäufer,der,Verkäufer,a2,
766,"steep, precipitous",険しい,adjective,adjective,steil,,,b1,
767,"alcohol, sake (polite form)",お酒,noun,,,,,,German has no polite register; アルコール/Alkohol carries this meaning.
768,"joy, delight, pleasure, happiness",喜び,noun,noun,Freude,die,Freuden,a2,
769,"uniform (school, work, etc.)",制服,noun,noun,Uniform,die,Uniformen,b1,
770,"railroad, railway",鉄道,noun,noun,Eisenbahn,die,Eisenbahnen,b1,
771,tokyo (capital of japan),東京,noun,,,,,,A proper place name rather than vocabulary.
772,refugee,難民,noun,noun,Flüchtling,der,Flüchtlinge,b2,
773,prime minister,首相,noun,noun,Kanzler,der,Kanzler,b2,
774,"story, tale, narrative",物語,noun,noun,Erzählung,die,Erzählungen,b1,
775,"practice, training, exercise",練習,noun,noun,Übung,die,Übungen,a2,
776,"evaluation, assessment",評価,noun,noun,Bewertung,die,Bewertungen,b1,
777,workplace,職場,noun,noun,Arbeitsplatz,der,Arbeitsplätze,b1,
778,"to listen, to hear, to ask",聞く,verb,verb,hören,,,a1,
779,ponzu sauce,ポン酢,noun,,,,,,Culturally specific; German only borrows Ponzu.
780,spring (season),春,noun,noun,Frühling,der,Frühlinge,a1,
781,"observation, watching",観察,noun,noun,Beobachtung,die,Beobachtungen,b1,
782,"factor, main cause",要因,noun,noun,Faktor,der,Faktoren,b1,Distinct from 原因/Ursache.
783,security,セキュリティ,noun,,,,,,Loanword duplicating 安全/Sicherheit.
784,shochu,焼酎,noun,,,,,,Culturally specific; German only borrows Shochu.
785,"unskilled, poor at, clumsy",下手,adjective,adjective,ungeschickt,,,b1,
786,summer,夏,noun,noun,Sommer,der,Sommer,a1,
787,friday,金曜日,noun,noun,Freitag,der,Freitage,a1,
788,bento box,弁当,noun,,,,,,Culturally specific; German only borrows Bento.
789,"to drop, to lose, to let fall",落とす,verb,verb,fallen lassen,,,b1,
790,lease renewal fee,更新料,noun,noun,Verlängerungsgebühr,die,Verlängerungsgebühren,c1,
791,next week,来週,noun,noun,Folgewoche,die,Folgewochen,b1,
792,fraudulent use,不正利用,noun,noun,Missbrauch,der,,b2,
793,rent (for housing),家賃,noun,noun,Wohnungsmiete,die,Wohnungsmieten,b1,Distinct from 賃料/Miete.
794,"average, mean",平均,noun,noun,Durchschnitt,der,Durchschnitte,b1,
795,"way, method, manner",仕方,noun,noun,Art und Weise,die,,b1,Distinct from 方法/Methode.
796,yellow (color),黄色,noun,noun,Gelb,das,,a1,The noun; 黄色い/gelb is the adjective.
797,"eyeglasses, spectacles",眼鏡,noun,noun,Sehhilfe,die,Sehhilfen,c1,Distinct from メガネ/Brille.
798,"writer, author, novelist",作家,noun,noun,Schriftsteller,der,Schriftsteller,b1,
799,"to flow, to stream, to run",流れる,verb,verb,fließen,,,b1,
800,"area, district, zone",地区,noun,noun,Bezirk,der,Bezirke,b1,Distinct from 区域/Gebiet and 地元/Gegend.
801,"time, hour",時間,noun,noun,Zeit,die,Zeiten,a1,
802,"unexpectedness, surprise",意外,noun,noun,Überraschung,die,Überraschungen,b1,
803,"house, home",家,noun,noun,Haus,das,Häuser,a1,
804,meat,肉,noun,noun,Fleisch,das,,a1,
805,"half a year, six months",半年,noun,noun,Halbjahr,das,Halbjahre,b1,
806,"boundary, border",境界,noun,noun,Abgrenzung,die,Abgrenzungen,b2,Distinct from 国境/Grenze.
807,cashier / register,レジ,noun,noun,Kasse,die,Kassen,a2,
808,pick-up/drop-off service,送迎,noun,noun,Abholservice,der,Abholservices,b2,
809,to award,進呈,noun,noun,Überreichung,die,,c1,
810,contract,契約,noun,noun,Vertrag,der,Verträge,b1,
811,"to turn, to rotate",回る,verb,verb,sich drehen,,,a2,
812,"to begin, to start (something)",始める,verb,verb,beginnen,,,a1,
813,"decision, determination",決定,noun,noun,Entscheidung,die,Entscheidungen,b1,
814,"to occur, to happen, to arise",起こる,verb,verb,geschehen,,,b1,
815,"dark, dim",暗い,adjective,adjective,dunkel,,,a1,
816,"breakdown, malfunction",故障,noun,noun,Panne,die,Pannen,b1,
817,"clinic, doctor's office",医院,noun,noun,Praxis,die,Praxen,b1,
